marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
COLIS-TEK,COLIS TEK,Novo,OPEM REPRESENTAÇÃO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA,1,nao
COLLECTRO,COLLECTRO,Similar,VIATRIS FARMACEUTICA DO BRASIL LTDA,8,nao
COLPATRIN,COLPATRIN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
COLPIST MT,COLPIST MT,Similar,ARESE PHARMA LTDA,1,nao
COLPISTATIN,COLPISTATIN,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
COLPOTROFINE,COLPOTROFINE,Novo,FARMA VISION IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA,2,nao
COLTRAX,COLTRAX,Novo,EUROFARMA LABORATORIOS S.A.,1,nao
COLTRAX INJ,COLTRAX INJ,Novo,EUROFARMA LABORATORIOS S.A.,1,nao
COLTRIENO,COLTRIENO,Similar,MYRALIS INDUSTRIA FARMACEUTICA LTDA,1,nao
COLUJET,COLUJET,Similar,CIMED INDUSTRIA S.A,1,nao
COMB ISO,COMB ISO,Específico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
COMBFIX,COMBFIX,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
COMBIGAN,COMBIGAN,Novo,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,2,nao
COMBIRON FÓLICO,COMBIRON FOLICO,Específico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
COMBIWAVE,COMBIWAVE,Similar,GLENMARK FARMACÊUTICA LTDA,3,nao
COMBODART,COMBODART,Novo,GLAXOSMITHKLINE BRASIL LTDA,3,nao
COMBTOL,COMBTOL,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
COMFECT,COMFECT,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
COMFECT DUO,COMFECT DUO,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
COMIRNATY,COMIRNATY,Biológico,PFIZER BRASIL LTDA,11,nao
COMPAZ,COMPAZ,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,3,nao
COMPLE B,COMPLE B,Específico,NATULAB LABORATORIO S.A,2,nao
COMPLEXO B,COMPLEXO B,Específico,EMS S/A,1,nao
COMPLEXO B 12,COMPLEXO B 12,Específico,EMS S/A,1,nao
COMPLEXO B 12 XPE,COMPLEXO B 12 XPE,Específico,EMS S/A,1,nao
COMPLEXO SENNA ALMEIDA PRADO Nº 46,COMPLEXO SENNA ALMEIDA PRADO NO 46,Novo,MEGALABS FARMACEUTICA S.A.,1,nao
COMTAN,COMTAN,Novo,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,1,nao
CONACORT,CONACORT,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
CONAZOL,CONAZOL,Similar,BRASTERAPICA PHARMACEUTICA LTDA.,1,nao
CONCÁRDIO,CONCARDIO,Similar,EMS S/A,12,nao
CONCERTA,CONCERTA,Novo,JANSSEN-CILAG FARMACEUTICA LTDA,3,nao
CONCOR,CONCOR,Novo,MERCK S/A,24,nao
CONCOR ANLO,CONCOR ANLO,Novo,MERCK S/A,4,nao
CONCOR HCT,CONCOR HCT,Novo,MERCK S/A,2,nao
CONDROFLEX,CONDROFLEX,Novo,ADIUM S.A.,14,nao
CONDUVAZ,CONDUVAZ,Específico,MABRA FARMACEUTICA LTDA,2,nao
CONIDRIN 3%,CONIDRIN 3,Específico,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
CONSIV,CONSIV,Similar,ADIUM S.A.,7,nao
CONTRACEP,CONTRACEP,Similar,GERMED FARMACEUTICA LTDA,2,nao
CONTRAVE,CONTRAVE,Novo,MERCK S/A,1,nao
COPAXONE,COPAXONE,Novo,TEVA FARMACÊUTICA LTDA.,1,nao
COQUES,COQUES,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
COR-SELECT,COR SELECT,Similar,BIOLAB SANUS FARMACEUTICA LTDA,3,nao
CORAMENT,CORAMENT,Novo,LABORATÓRIOS FERRING LTDA,2,nao
CORDAREX,CORDAREX,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,10,nao
CORDIL,CORDIL,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
CORISTINA D CONGEST,CORISTINA D CONGEST,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
CORISTINA D PRO,CORISTINA D PRO,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
CORONAR,CORONAR,Similar,BIOLAB SANUS FARMACEUTICA LTDA,2,nao
CORRETAL,CORRETAL,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
CORTICOIDEX,CORTICOIDEX,Similar,FRESENIUS KABI BRASIL LTDA,1,nao
CORTICORTEN,CORTICORTEN,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,2,nao
CORTIDEX,CORTIDEX,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,1,nao
CORTIFAR,CORTIFAR,Similar,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,1,nao
CORTIGEN,CORTIGEN,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
CORTISONAL,CORTISONAL,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,3,nao
CORTITOP,CORTITOP,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,3,nao
CORUS,CORUS,Novo | Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,7,nao
CORUS H,CORUS H,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
COSARTAN ALP,COSARTAN ALP,Similar,GERMED FARMACEUTICA LTDA,5,nao
COSENTYX,COSENTYX,Biológico,NOVARTIS BIOCIENCIAS S.A,5,nao
COSOPT,COSOPT,Novo,MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA,2,nao
COTELLIC®,COTELLIC,Novo,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,1,nao
COVERSYL,COVERSYL,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,2,nao
COVERSYL PLUS,COVERSYL PLUS,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,1,nao
COXDUO,COXDUO,Similar,TEVA FARMACÊUTICA LTDA.,1,nao
COXETO,COXETO,Similar,GERMED FARMACEUTICA LTDA,6,nao
COXYM,COXYM,Específico,GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA,1,nao
COZAAR,COZAAR,Novo,ORGANON FARMACEUTICA LTDA.,3,nao
CPHD 24/34,CPHD 24 34,Específico,FRESENIUS MEDICAL CARE LTDA,1,nao
CPHD 35 BA,CPHD 35 BA,Específico,NIPRO RENAL SOLUTIONS BRASIL LTDA,1,nao
CPHD AC,CPHD AC,Específico,NIPRO RENAL SOLUTIONS BRASIL LTDA,7,nao
CPHD AC 35 C/ GLICOSE,CPHD AC 35 C GLICOSE,Específico,NIPRO RENAL SOLUTIONS BRASIL LTDA,6,nao
"CPHD BICARBONATO DE SÓDIO 8,4 %",CPHD BICARBONATO DE SODIO 8 4,Específico,FRESENIUS MEDICAL CARE LTDA,1,nao
CPHD COM GLICOSE,CPHD COM GLICOSE,Específico,FRESENIUS MEDICAL CARE LTDA,5,nao
CPHD - CONCENTRADO ÁCIDO PARA HEMODIÁLISE SEM GLICOSE,CPHD CONCENTRADO ACIDO PARA HEMODIALISE SEM GLICOSE,Específico,FARMARIN INDUSTRIA E COMERCIO LTDA,6,nao
CPHD FARMARIN,CPHD FARMARIN,Específico,FARMARIN INDUSTRIA E COMERCIO LTDA,2,nao
CPHD GENIUS,CPHD GENIUS,Específico,FRESENIUS MEDICAL CARE LTDA,4,nao
CPHD GENIUS DS,CPHD GENIUS DS,Específico,FRESENIUS MEDICAL CARE LTDA,3,nao
CPHD SEM GLICOSE 1:44,CPHD SEM GLICOSE 1 44,Específico,FRESENIUS MEDICAL CARE LTDA,2,nao
CPHD SMP 35,CPHD SMP 35,Específico,NIPRO RENAL SOLUTIONS BRASIL LTDA,1,nao
CREMEDERME,CREMEDERME,Similar,CELLERA FARMACEUTICA S.A.,2,nao
CREMEFENERGAN,CREMEFENERGAN,Novo,OPELLA HEALTHCARE BRAZIL LTDA,1,nao
CREON,CREON,Biológico,ABBOTT LABORATORIOS DO BRASIL LTDA,2,nao
CRESEMBA,CRESEMBA,Novo,UNITED MEDICAL LTDA,2,nao
CRESLIP,CRESLIP,Similar,ALTHAIA S.A. INDUSTRIA FARMACEUTICA,11,nao
CRESTOR,CRESTOR,Novo,ASTRAZENECA DO BRASIL LTDA,7,nao
CREVAGIN,CREVAGIN,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
CRINONE,CRINONE,Novo,MERCK S/A,1,nao
CRISAPINA,CRISAPINA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,7,nao
CRISCY,CRISCY,Biológico,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,5,nao
CRISPRED,CRISPRED,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
CRISTACILINA,CRISTACILINA,Similar,FRESENIUS KABI BRASIL LTDA,2,nao
CRISTALIN,CRISTALIN,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
CROMOGLICATO,CROMOGLICATO,Novo,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,2,nao
CRONOBÊ,CRONOBE,Específico,BIOLAB SANUS FARMACEUTICA LTDA,1,nao
CRONOBE COMPLEX,CRONOBE COMPLEX,Específico,BIOLAB SANUS FARMACEUTICA LTDA,2,nao
CRONOBE COMPLEX  IM,CRONOBE COMPLEX IM,Específico,BIOLAB SANUS FARMACEUTICA LTDA,1,nao
CRONOCOR,CRONOCOR,Similar,BIOLAB SANUS FARMACEUTICA LTDA,5,nao
CRONOPLEX,CRONOPLEX,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
CROPOC,CROPOC,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,4,nao
CRYSVITA,CRYSVITA,Biológico,ULTRAGENYX BRASIL FARMACEUTICA LTDA,3,nao
CUBICIN,CUBICIN,Novo,MERCK SHARP & DOHME FARMACEUTICA LTDA.,2,nao
CUORE,CUORE,Similar,MERCK S/A,1,nao
CUPRIMINE,CUPRIMINE,Novo,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
CUROSURF,CUROSURF,Novo,CHIESI FARMACÊUTICA LTDA,2,nao
CUTISANOL,CUTISANOL,Novo,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
CUVITRU,CUVITRU,Biológico,TAKEDA PHARMA LTDA.,4,nao
CYCLOFEMINA,CYCLOFEMINA,Novo,HEMAFARMA COM. E IND. FARM. LTDA,4,nao
CYDIKRIZ,CYDIKRIZ,Similar,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,15,nao
CYFENOL BABY,CYFENOL BABY,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
CYGNUS D,CYGNUS D,Específico,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,8,nao
CYLOCORT,CYLOCORT,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
CYMBALTA,CYMBALTA,Novo,ELI LILLY DO BRASIL LTDA,2,nao
CYMBI,CYMBI,Similar,EMS SIGMA PHARMA LTDA,12,nao
CYMEVIR,CYMEVIR,Novo,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,6,nao
CYPCINO,CYPCINO,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
CYRAMZA,CYRAMZA,Biológico,ELI LILLY DO BRASIL LTDA,2,nao
CYSTADANE,CYSTADANE,Específico,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,1,nao
CYSTEX,CYSTEX,Similar,EMS S/A,1,nao
CYSTOREN,CYSTOREN,Similar,ZYDUS NIKKHO FARMACÊUTICA LTDA,2,nao
CYTOS,CYTOS,Similar,ACCORD FARMACÊUTICA LTDA,2,nao
CYTOVINEX,CYTOVINEX,Similar,BLAU FARMACEUTICA S.A.,3,nao
D’ORTO,D ORTO,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
D3CAPS,D3CAPS,Específico,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,7,nao
DACARB,DACARB,Novo,EUROFARMA LABORATORIOS S.A.,2,nao
DACOGEN,DACOGEN,Novo,JANSSEN-CILAG FARMACEUTICA LTDA,1,nao
DACTIL OB,DACTIL OB,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
DACXI,DACXI,Similar,BIOLAB SANUS FARMACEUTICA LTDA,3,nao
DAEM,DAEM,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
DAFLON,DAFLON,Específico,LABORATORIOS SERVIER DO BRASIL LTDA,7,nao
DAGLI,DAGLI,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,6,nao
DAISAN,DAISAN,Similar,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,3,nao
DAIVOBET,DAIVOBET,Novo,LEO PHARMA LTDA,2,nao
DAIVONEX,DAIVONEX,Novo,LEO PHARMA LTDA,1,nao
DAKTARIN GEL ORAL,DAKTARIN GEL ORAL,Novo,KENVUE LTDA.,1,nao
DALACIN C,DALACIN C,Novo,PFIZER BRASIL LTDA,1,nao
DALÍ,DALI,Similar,SUPERA FARMA LABORATÓRIOS S.A,1,nao
DALINVI,DALINVI,Biológico,JANSSEN-CILAG FARMACEUTICA LTDA,3,nao
DALMADORM,DALMADORM,Similar,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
DALYNE,DALYNE,Similar,EMS SIGMA PHARMA LTDA,2,nao
DAMATER,DAMATER,Específico,ALTHAIA S.A. INDUSTRIA FARMACEUTICA,1,nao
DANPEZIL,DANPEZIL,Similar,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,2,nao
DANTALIN,DANTALIN,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,1,nao
DANTROLEN,DANTROLEN,Novo,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
DANYELZA,DANYELZA,Biológico,ADIUM S.A.,1,nao
DAONIL,DAONIL,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
DAPAGLE,DAPAGLE,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
DAPANA,DAPANA,Similar,SUPERA FARMA LABORATÓRIOS S.A,3,nao
DAPFLOW,DAPFLOW,Similar,EMS S/A,8,nao
DAPLIZA,DAPLIZA,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
DAPLYS,DAPLYS,Similar,GERMED FARMACEUTICA LTDA,2,nao
DARAPRIM,DARAPRIM,Novo,FARMOQUÍMICA S/A,1,nao
DARTRIAL,DARTRIAL,Similar,SUPERA FARMA LABORATÓRIOS S.A,5,nao
DARVYR,DARVYR,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,4,nao
DASNAR,DASNAR,Similar,TORRENT DO BRASIL LTDA,2,nao
DASTENE,DASTENE,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
DASTENE DUO,DASTENE DUO,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
DATROWAY,DATROWAY,Biológico,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,1,nao
DAXAS,DAXAS,Novo,ASTRAZENECA DO BRASIL LTDA,1,nao
DAYVIGO,DAYVIGO,Novo,EISAI LABORATÓRIOS LTDA,2,nao
DAZANYN,DAZANYN,Similar,ACCORD FARMACÊUTICA LTDA,6,nao
DBRIZ,DBRIZ,Biológico,SUPERA FARMA LABORATÓRIOS S.A,3,nao
DBRIZ UNO,DBRIZ UNO,Biológico,SUPERA FARMA LABORATÓRIOS S.A,2,nao
DDAVP,DDAVP,Novo,LABORATÓRIOS FERRING LTDA,4,nao
DEBET,DEBET,Similar,SUPERA FARMA LABORATÓRIOS S.A,2,nao
DECA-DURABOLIN,DECA DURABOLIN,Novo,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,3,nao
DECADRON,DECADRON,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
DECADRON COLÍRIO,DECADRON COLIRIO,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
DECADRON INJETÁVEL,DECADRON INJETAVEL,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
DECADRON NASAL,DECADRON NASAL,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
DECAN HALOPER,DECAN HALOPER,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
DECI,DECI,Similar,SUN FARMACÊUTICA DO BRASIL LTDA,1,nao
DECIPRAX,DECIPRAX,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
DECNAZOL,DECNAZOL,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,3,nao
DECONGEX GRIPE,DECONGEX GRIPE,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
DECONGEX PLUS,DECONGEX PLUS,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5,nao
DECONLERG,DECONLERG,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
DEFB,DEFB,Específico,BIOLAB SANUS FARMACEUTICA LTDA,1,nao
DEFITELIO,DEFITELIO,Biológico,ADIUM S.A.,1,nao
DEFLAIMMUN,DEFLAIMMUN,Similar,EMS SIGMA PHARMA LTDA,3,nao
DEFORCE,DEFORCE,Específico,ZYDUS NIKKHO FARMACÊUTICA LTDA,2,nao
DEFULL,DEFULL,Específico,BRASTERAPICA PHARMACEUTICA LTDA.,6,nao
DEGEN,DEGEN,Específico,BIOLAB SANUS FARMACEUTICA LTDA,11,nao
DEJAVÚ,DEJAVU,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
DEKSA,DEKSA,Similar,SUPERA FARMA LABORATÓRIOS S.A,3,nao
DELABAXI,DELABAXI,Novo,EUROFARMA LABORATORIOS S.A.,1,nao
DELLER,DELLER,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,6,nao
DELTA - IFAL,DELTA IFAL,Similar,IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA,2,nao
DELTALAB,DELTALAB,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,1,nao
DELTAPIL,DELTAPIL,Similar,BELFAR LTDA,2,nao
DELTYBA,DELTYBA,Novo,VIATRIS FARMACEUTICA DO BRASIL LTDA,1,nao
DELUMI,DELUMI,Específico,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,10,nao
DEMEDROX,DEMEDROX,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
DEMI-D,DEMI D,Específico,FARMOQUÍMICA S/A,4,nao
DENBONLI,DENBONLI,Biológico,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,1,nao
DENGVAXIA,DENGVAXIA,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,5,nao
DENPRYX,DENPRYX,Similar,FARMOQUÍMICA S/A,2,nao
DENSIS,DENSIS,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
DENYL,DENYL,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,3,nao
DEOCIL,DEOCIL,Similar,DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA,5,nao
DEP,DEP,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
DEPAKENE,DEPAKENE,Novo,ABBOTT LABORATORIOS DO BRASIL LTDA,6,nao
DEPAKOTE,DEPAKOTE,Novo,ABBOTT LABORATORIOS DO BRASIL LTDA,10,nao
DEPANTEX,DEPANTEX,Específico,NATIVITA IND. COM. LTDA.,1,nao
DEPAXAN,DEPAXAN,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
DEPO-MEDROL,DEPO MEDROL,Novo,PFIZER BRASIL LTDA,1,nao
DEPO-PROVERA,DEPO PROVERA,Novo,PFIZER BRASIL LTDA,2,nao
DEPOSTERON,DEPOSTERON,Similar,EMS SIGMA PHARMA LTDA,1,nao
DEPRASIL,DEPRASIL,Similar,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,2,nao
DEPURA,DEPURA,Específico,OPELLA HEALTHCARE BRAZIL LTDA,1,nao
DEPZEL,DEPZEL,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,8,nao
DERADOP XL,DERADOP XL,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,5,nao
DERIVA C MICRO,DERIVA C MICRO,Novo,GLENMARK FARMACÊUTICA LTDA,1,nao
DERIVA MICRO,DERIVA MICRO,Novo,GLENMARK FARMACÊUTICA LTDA,1,nao
DERMACERIUM,DERMACERIUM,Novo,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,7,nao
DERMATISAN,DERMATISAN,Similar,EMS S/A,1,nao
DERMATOP,DERMATOP,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
DERMAZINE,DERMAZINE,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,8,nao
DERMOBAN,DERMOBAN,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,1,nao
DERMOBENE,DERMOBENE,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
DERMODEX,DERMODEX,Novo,TAKEDA PHARMA LTDA.,1,nao
DERMOMAX,DERMOMAX,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
DERMONASE,DERMONASE,Similar,LABORATORIO GLOBO SA,1,nao
DERMOSALIC,DERMOSALIC,Similar,CELLERA FARMACEUTICA S.A.,2,nao
DERMOTIL FUSID,DERMOTIL FUSID,Novo,GLENMARK FARMACÊUTICA LTDA,1,nao
DERMOTRIZOL,DERMOTRIZOL,Similar,BELFAR LTDA,3,nao
DERMOVAT,DERMOVAT,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,2,nao
DESAFTALIV,DESAFTALIV,Similar,KLEY HERTZ FARMACEUTICA S.A,1,nao
DESAIRON,DESAIRON,Similar,EMS S/A,3,nao
DESALEX,DESALEX,Novo,ORGANON FARMACEUTICA LTDA.,4,nao
DESALEX D12,DESALEX D12,Novo,ORGANON FARMACEUTICA LTDA.,1,nao
DESCON,DESCON,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,6,nao
DESCOVY,DESCOVY,Novo,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,1,nao
DESDIFF,DESDIFF,Similar,DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA,4,nao
DESDUO,DESDUO,Similar,TORRENT DO BRASIL LTDA,6,nao
DESENVO,DESENVO,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5,nao
DESFERAL,DESFERAL,Novo,MASTERS SPECIALITY PHARMA LTDA,1,nao
DESIRÉE,DESIREE,Similar,FARMOQUÍMICA S/A,2,nao
DESLANOL,DESLANOL,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
DESLORANA,DESLORANA,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,7,nao
DESOSKIN,DESOSKIN,Similar,EMS SIGMA PHARMA LTDA,1,nao
DESRINITE,DESRINITE,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,2,nao
DESTADIN,DESTADIN,Similar,EMS S/A,5,nao
DESTYC,DESTYC,Similar,SANUSPHAR PESQUISA E DESENVOVIMENTO LTDA,2,nao
DESVE,DESVE,Similar,EUROFARMA LABORATORIOS S.A.,6,nao
DESVENTAG,DESVENTAG,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
DEWS,DEWS,Específico,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
DEX,DEX,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,3,nao
DEX BOLSA,DEX BOLSA,Novo,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
DEXA-CITONEURIN NFF,DEXA CITONEURIN NFF,Novo,PROCTER & GAMBLE DO BRASIL LTDA,1,nao
DEXADEN,DEXADEN,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
DEXADERMIL,DEXADERMIL,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
DEXADOR,DEXADOR,Similar,ARESE PHARMA LTDA,5,nao
DEXAGREEN,DEXAGREEN,Similar,GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA,2,nao
DEXALGEN NF,DEXALGEN NF,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
DEXAMETRAT,DEXAMETRAT,Similar,LABORATORIO GLOBO SA,1,nao
DEXAMEX,DEXAMEX,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,1,nao
DEXANEURIN,DEXANEURIN,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
DEXASON,DEXASON,Similar,LABORATORIO TEUTO BRASILEIRO S/A,3,nao
DEXAVISON,DEXAVISON,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
DEXFER,DEXFER,Específico,EUROFARMA LABORATORIOS S.A.,9,nao
DEXILANT,DEXILANT,Novo,TAKEDA PHARMA LTDA.,8,nao
DEXMINE,DEXMINE,Similar,CIMED INDUSTRIA S.A,1,nao
DEXPERTA,DEXPERTA,Similar,BLAU FARMACEUTICA S.A.,1,nao
DEXPOLARIM,DEXPOLARIM,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,1,nao
DEXPROTENOL,DEXPROTENOL,Específico,PRATI DONADUZZI & CIA LTDA,1,nao
DEXTAFLAM,DEXTAFLAM,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA | MABRA FARMACEUTICA LTDA,4,nao
DEXTAMINE,DEXTAMINE,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,3,nao
DEXXAH,DEXXAH,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,3,nao
DEZLORBE,DEZLORBE,Similar,KYMBERG FARMACEUTICA DO BRASIL LTDA,1,nao
DHIVAS,DHIVAS,Específico,SUPERA FARMA LABORATÓRIOS S.A,2,nao
DIACQUA,DIACQUA,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
DIAD,DIAD,Similar,CIMED INDUSTRIA S.A,1,nao
DIAGLITS,DIAGLITS,Similar,LABORATORIO GLOBO SA,3,nao
